#: table_doi: 10.17182/hepdata.144587.v1/t1
#: name: Table 1
#: description: See caption of Fig 4.
#: data_file: data1.yaml
#: keyword reactions: K+ --> pi+ a a, a --> e+ e-
#: keyword observables: BR
#: keyword phrases: 
#: keyword cmenergies: 
#: Axion mass [MeV],UL at 90% CL of BR(K+-->pi+aa, a-->e+e-)
Axion mass [MeV],"UL at 90% CL of BR(K+-->pi+aa, a-->e+e-)"
10,3.14582e-09
15,2.3089e-09
20,1.90413e-09
25,1.73087e-09
30,1.66367e-09
35,1.63017e-09
40,1.59374e-09
45,1.54038e-09
50,1.4691e-09
55,1.38513e-09
60,1.2955e-09
65,1.20643e-09
70,1.12214e-09
75,1.04449e-09
80,9.73441e-10
85,9.07712e-10
90,8.45594e-10
95,7.85675e-10
100,7.27344e-10
105,6.71e-10
110,6.17944e-10
115,5.69979e-10
120,5.28795e-10
125,4.95287e-10
130,4.68974e-10
135,4.47773e-10
140,4.28422e-10
145,4.07891e-10
150,3.86188e-10
155,3.71008e-10
160,3.84741e-10
165,4.74383e-10
170,7.24979e-10

